item_count,complexity,active_orders,hour_of_day,prep_time
4,3,7,23,30.32399639906827
5,9,14,4,44.519231801179416
1,9,1,4,19.084770319623953
5,5,0,22,30.508616005404754
5,3,6,11,27.04360898143201
1,2,5,1,14.213885390634186
1,8,4,22,32.544641681439444
1,6,11,15,27.987861641807207
1,7,12,16,29.660420249329103
4,1,12,4,30.10322096517512
3,1,12,11,24.29650375617718
3,2,7,14,24.444701377992864
1,3,10,5,21.195375376156395
3,1,14,12,29.802980069325567
3,5,12,10,33.533359319579965
1,3,1,16,13.229836674451722
3,1,1,8,11.124612372269178
5,8,8,15,36.21093717160957
2,6,0,16,20.747176218674845
2,9,5,19,33.0959665627166
1,3,12,23,23.59823931344774
4,9,12,17,40.009857801729076
1,9,2,12,20.38340694331226
4,1,14,10,26.936535539397717
2,3,12,12,27.547118165294048
1,6,4,23,21.00002099868361
5,8,7,12,36.79776986956924
3,4,6,11,25.134730542970278
4,5,12,13,36.129294831419394
3,9,11,12,37.617858940032654
3,6,3,8,27.85499855420514
1,7,7,13,24.21699825692138
3,7,10,0,32.8657774384979
5,4,10,8,36.31727215523316
3,4,9,3,27.020177613840023
1,4,10,11,24.779565445488792
5,5,13,23,38.90836928383623
2,5,1,13,20.03492237942274
3,8,6,8,30.484006210472987
1,9,4,2,23.53251198307934
2,2,10,5,23.179846322768178
2,7,5,2,26.580012209804266
4,1,2,0,16.30977997785309
5,1,10,21,32.56539804623613
3,4,9,20,30.936000444939836
1,7,6,2,27.086964630525927
4,2,6,13,22.956844964495357
5,2,1,19,23.969525822798737
4,1,0,1,15.859779349412161
5,2,9,11,26.07527993222903
5,7,1,9,26.783974250402167
3,9,11,12,40.71064345203897
5,6,7,19,37.27233302254741
4,2,10,3,28.43903123232537
5,9,9,18,44.69434168796893
3,7,2,21,31.02268874350566
3,1,10,0,24.902449862041923
4,9,3,10,35.03716978732534
2,2,7,15,20.862552671523083
2,4,2,18,21.528494441545007
5,9,5,18,42.523893661738974
1,4,1,11,13.778627724592567
5,3,2,2,20.700797102226645
4,1,0,22,17.123145582082376
4,7,8,23,34.057518211849626
4,6,3,17,24.685079361535582
4,4,5,16,23.44529125071807
4,6,14,4,37.66837375676508
3,6,6,15,26.473359081388768
2,4,1,23,17.865429443860652
4,6,7,13,31.367071747871336
1,8,11,18,36.91091955910322
1,3,8,5,22.2216783961764
1,4,13,2,28.38731876388632
1,1,9,5,19.71313322500989
3,4,10,11,27.66611953159302
1,9,1,19,25.384592028064137
4,8,4,10,30.102695135026146
5,4,1,6,22.507180512689512
1,7,10,0,31.522361653575814
3,3,4,15,21.298649228454952
3,9,6,15,30.716106643160398
1,4,5,16,16.439854185306285
5,2,3,14,23.36518165215845
1,5,13,20,35.763342201717194
3,2,1,8,17.13844559838565
2,6,6,4,26.117525591948347
4,1,11,19,36.30992504616271
3,6,9,7,30.36724032364353
1,4,8,20,27.68281653494662
4,3,0,0,19.08094146366985
1,2,2,6,14.126031606475738
1,7,6,10,25.354191910785197
2,9,14,19,41.11781139976236
4,3,13,20,34.56406878837596
4,6,8,12,30.828101280206777
2,9,12,21,41.94363010111201
3,2,4,12,15.064029956559018
1,7,6,6,24.640381575467142
5,5,14,10,40.60237423780544
1,5,9,17,25.18160055669086
1,7,6,0,25.29025310573058
3,9,3,11,29.275635128915418
1,4,4,2,14.59746374702887
2,9,1,0,25.005163641778527
2,9,7,3,29.43293251070626
4,4,11,5,31.72378751501867
5,3,14,4,34.97781630100829
1,2,14,10,28.94777283229614
1,9,0,19,23.155160874656183
3,2,1,22,22.962690536422414
2,6,11,12,35.98365543928403
5,5,2,10,21.797759852248806
4,5,6,5,26.527893271008004
2,4,5,18,27.224895450433202
4,6,13,14,35.61310031593459
3,5,6,20,30.156250336181092
3,4,10,12,29.35175452383827
1,9,4,9,23.874357970311532
5,6,13,0,39.76396627747438
4,3,3,12,22.997472548855466
2,6,14,5,34.643369779407664
3,1,14,20,32.22269117294384
1,5,6,23,24.029773257078087
1,6,2,19,26.178069351096397
4,8,12,11,40.1371593975738
3,9,9,16,33.33641529945426
5,3,6,17,24.9445454726264
3,2,1,23,10.463131128575936
4,4,11,7,31.015745049517296
4,8,11,13,40.33115888897114
3,8,7,4,30.03206336510789
4,3,11,21,33.788134758189784
3,4,5,1,25.045768833137974
2,3,11,21,34.002559377255004
3,2,14,10,29.727737671987356
3,4,2,2,20.4188979348214
4,6,2,21,27.66449587062514
4,5,4,15,24.61473571397962
1,3,2,20,15.259779384374681
1,2,5,15,16.720204292145546
2,9,1,8,23.494172940473494
1,1,7,12,15.556145350816893
3,9,12,9,38.715939932821314
4,1,10,16,26.069898085174714
1,7,11,20,34.045507882415876
1,6,10,16,28.7971015409339
2,7,8,9,28.504101634267077
2,3,12,7,27.631439466178147
3,3,14,6,29.37867726888009
4,1,6,13,21.448764841147813
2,4,13,21,35.24134006623466
1,2,2,17,10.74877183939719
4,8,10,20,43.06308748900859
4,3,13,18,33.88438295673508
1,7,9,17,27.335603245721636
2,7,3,13,23.719908854693553
1,9,11,9,37.89701823915971
4,6,9,0,30.068654130002905
5,1,1,8,17.8772549255368
5,8,8,17,37.6958055860003
3,1,13,12,28.226695855290224
1,3,4,16,13.835312815338458
1,5,11,22,31.73265480029277
3,8,1,21,24.31670282501888
3,9,9,15,35.307731869664195
3,7,5,23,24.66821452586712
4,9,6,10,34.61132188192156
1,3,12,22,29.593155242503528
4,5,1,8,20.204970352999815
3,8,14,6,40.13310051520681
1,1,0,21,14.020513127247304
4,8,12,0,41.14256860377112
4,7,6,8,30.17727616641377
3,1,0,9,12.288437070243708
1,6,2,15,15.627351838443182
3,1,3,20,23.996798846503726
1,2,1,17,9.33111908595945
5,5,6,13,31.149669397339093
2,2,4,10,18.264374584927644
2,1,0,23,11.299805309455953
2,6,11,3,30.725219252147024
3,8,11,18,40.47452846362214
5,8,7,12,35.271847365319964
1,8,9,0,25.992222936296027
4,6,6,20,34.14780192739735
1,3,3,18,23.07150187932608
4,1,1,14,15.248297022255526
1,2,14,19,31.7345196664609
5,5,6,14,27.651764920458753
4,5,10,10,32.871374617684545
3,1,1,22,17.14406167276067
1,1,5,4,16.199713003475647
1,9,0,23,22.782656525793783
4,2,13,21,39.31919325096731
3,7,6,9,25.81291432500489
3,4,6,17,25.64542099797078
5,7,11,6,39.9939798897746
3,8,3,0,25.769858783424514
3,5,3,2,24.485355055482987
3,1,14,0,30.128890900664373
2,4,9,16,28.54623168373297
5,3,4,14,21.764759620594916
1,5,1,4,14.27188935338544
4,6,8,21,36.78744709265348
1,2,9,15,23.145181066194628
5,7,3,11,30.00959891134761
4,3,10,18,32.603324036985
5,1,8,13,29.652684623751497
3,3,13,2,30.5105856437727
4,9,2,18,32.06733098748193
3,6,8,0,28.049805212409236
1,6,0,20,18.335518909110355
1,4,6,0,15.705393780751518
4,8,3,9,28.366813155788545
4,5,6,2,24.59079302460896
5,7,13,12,41.727335395196164
5,9,9,5,41.268565300486415
3,5,14,10,36.05324009369272
4,5,5,5,26.587975383267896
1,4,3,2,13.518288422101662
5,6,3,15,29.292098696934367
5,2,7,8,30.29312784101932
1,3,6,7,21.516538149549344
5,1,3,2,17.438929414697668
3,2,10,4,25.844065216066404
4,2,5,20,26.434539970412196
1,8,5,13,24.203926788528918
4,8,0,4,25.054156076498476
5,2,12,18,41.73016443486921
5,6,1,4,25.414714635174473
1,5,3,20,22.211313717359424
3,3,5,19,27.09580673264787
2,5,5,19,24.873385842762655
1,5,0,1,13.067848196015566
2,5,7,6,26.872464147052664
2,3,1,0,15.076688652731749
3,3,12,20,39.103460175317366
2,4,4,17,20.335360891678626
2,7,3,9,20.608350873752183
3,2,4,5,15.629881130131922
2,4,4,6,21.803290839320717
2,4,14,11,29.716946665040116
2,1,9,17,19.037753026479002
1,8,7,10,26.37003095126992
1,1,9,21,26.292516143561468
1,8,6,18,30.46455211885747
3,7,11,3,33.016776844224076
5,9,13,18,51.52521410658298
2,8,8,12,32.68389978768239
2,5,11,18,38.034132296714944
3,8,10,1,37.70266109421531
2,3,12,8,30.017832071790565
1,7,14,7,32.79751655846459
5,4,0,20,27.31805725298516
4,5,5,13,28.929270548127306
2,9,5,8,32.21159648514931
1,7,1,12,19.042249250126254
4,4,10,17,30.016080809050315
5,6,7,5,30.63173667585831
4,7,5,22,36.458860704699646
1,9,10,21,36.16653850894628
4,4,12,2,33.61448669679209
3,3,9,9,24.53946872104593
4,8,8,9,34.28215668275463
2,1,9,9,22.17797153992723
2,9,4,8,27.8385011466146
3,1,6,11,21.17589781550356
1,2,5,23,13.251815005816827
2,8,10,7,32.766913188080636
5,9,14,23,44.359599105183484
2,7,4,8,22.335296042301156
2,3,5,16,18.000972456479804
1,7,3,7,19.311836300168377
4,6,2,17,25.09986167996872
2,2,12,19,32.200277799426416
3,3,0,16,17.251248439574322
4,5,0,5,21.15612574147196
5,4,5,9,27.3176078626071
1,2,13,0,25.757782275526285
5,4,8,20,36.95131574217325
4,8,7,0,29.186288544602238
4,5,11,8,33.581737899280846
4,5,1,19,27.33440447431169
5,3,8,2,32.67926139327944
4,8,7,23,31.176849168776585
5,6,13,5,37.30628065607923
4,2,13,6,27.05806944174473
3,2,11,8,24.418438793133465
4,9,8,4,35.797390861552614
5,7,3,15,27.651933798028427
2,9,8,1,30.60923683167828
4,6,1,2,23.24585794420513
2,5,12,2,32.06461209700573
3,1,0,19,17.52501003068726
1,6,12,22,35.45339681807171
3,6,8,9,30.407218425258158
4,3,9,21,29.634581829833774
2,3,7,2,22.157989174469385
2,3,6,14,20.55013476075358
5,3,13,13,35.08579975556853
2,7,12,22,37.73188053913102
5,2,7,3,25.989054464734167
1,2,11,9,24.005292836953263
4,3,0,10,20.71809557100506
5,7,13,10,37.717258354359444
1,3,8,7,22.243567780497848
2,7,11,22,40.135727030004446
2,9,9,22,35.75888098612331
1,4,10,8,24.641174900014143
2,7,8,7,29.65155104119758
1,9,14,11,41.31789302238026
5,8,11,16,44.546655343151116
5,8,10,22,41.45859344070884
1,9,8,14,29.495535256366637
5,5,12,18,42.298981997248184
5,5,13,19,44.212909005514284
5,3,5,5,25.90159582795712
3,5,3,4,20.203772063099613
4,8,12,7,37.41537967672802
2,5,1,17,14.61749715192531
3,4,10,20,29.958810934920283
5,8,3,20,32.471896013238855
1,7,6,14,27.023043915038407
5,6,0,2,25.420557078352154
4,5,13,13,37.206556320250876
5,5,8,14,31.654569839287248
1,2,2,12,12.316986811859813
4,4,12,20,37.862605153934346
5,8,12,19,43.22612947170972
4,8,3,20,34.89537343702161
2,1,11,8,25.40535791266421
2,2,4,22,19.499339133056637
5,5,11,16,33.39750482480485
4,9,12,18,46.603534403383705
1,7,2,3,20.585897528217778
5,5,3,19,32.56535181074297
2,1,4,9,18.12714606884985
2,6,11,21,34.08417877276109
5,8,0,2,26.836010758723354
4,7,13,18,42.09896119930329
2,2,8,8,19.743017478634933
4,5,9,4,30.44040712400279
2,4,12,13,32.280711890314734
2,9,9,6,35.509636465919904
3,1,12,20,31.750353107175673
2,6,13,5,29.28779648370331
1,3,3,23,15.885556385464064
5,9,12,7,43.63934430931748
5,5,8,1,30.232812788106205
4,6,3,13,27.261392789016284
2,9,13,21,41.19435206776574
1,9,0,6,22.155477977563603
4,8,11,2,38.68213080247017
3,9,4,19,31.38037015853187
4,4,12,21,37.67704693692258
4,6,8,22,36.8893027830809
2,5,2,5,19.500315952894095
3,5,4,20,30.36635428273796
4,4,2,13,23.71554786036237
1,2,11,11,22.7227504055635
1,6,2,17,19.518643749647357
5,9,0,11,31.71587186719405
3,1,1,6,11.66267140678218
3,7,1,4,21.484079587598092
5,6,8,11,30.289730069242662
4,3,6,8,23.43713553922512
3,1,7,10,21.311562875544848
1,4,1,3,9.967707520027744
1,9,8,13,30.974089990257625
2,2,12,11,25.45531126709384
3,3,2,17,17.774652474982084
4,2,9,6,24.462256038917662
5,2,12,22,37.195478425861154
5,8,1,0,31.558399329874167
4,3,11,12,29.900391669560673
2,7,0,15,15.074126041071288
5,8,8,4,39.027544557261656
3,3,7,18,29.98489569344259
2,2,12,8,26.588085581988718
3,8,14,22,45.936104312623954
1,3,11,8,24.86503234550052
2,7,10,11,34.786532479819314
5,1,3,17,21.603999057164692
2,6,6,23,24.287150534977
2,9,11,9,38.683909883311436
2,3,13,16,32.739969728958194
2,7,2,18,28.72072790335589
3,6,2,23,23.21385917785769
1,8,3,10,20.89180623365448
4,3,1,15,20.071318021403137
2,3,13,7,29.87605239601815
5,4,9,23,31.74639442584025
2,3,3,14,18.498536272258782
5,9,9,10,39.474115108427846
3,4,2,6,20.497566083174927
5,6,7,1,34.4716575679436
4,8,10,18,39.337811002309834
1,8,1,8,18.15064920789437
5,5,10,17,32.67555633080775
5,5,8,12,35.980018818481874
1,6,2,22,24.666949465551166
4,7,3,0,28.55323842810646
2,7,12,18,41.15887610003747
5,4,9,12,29.706691161349514
1,6,13,13,27.523439189961092
3,7,14,16,38.17427567429458
1,5,9,21,32.09514392037949
3,5,14,19,39.904814078734105
4,2,14,0,30.060123390946064
2,7,2,4,20.089544338116355
1,6,2,19,21.041483999409103
5,1,7,13,23.675271126544228
4,4,7,17,25.081239098768112
1,3,12,12,26.193558025457975
5,3,12,22,37.8048371867739
1,7,5,11,24.76686445383752
3,4,3,14,18.64704410906674
1,8,0,23,19.510693775490253
1,9,3,3,24.024801694276093
1,3,7,8,20.69205788848255
4,5,5,2,27.573427172597626
1,4,1,21,20.487289251990447
5,6,2,10,28.06151434180261
3,4,11,14,31.28458204837174
3,8,6,15,30.795732011628115
1,3,10,6,22.166552632182484
4,5,10,6,34.2014740971182
4,1,3,21,21.706231594400332
5,6,3,8,27.016173356122483
1,5,14,16,29.57669357419146
3,8,14,12,38.03503726990564
4,9,4,8,30.665997061876695
1,8,7,8,26.933942012943714
4,8,13,19,43.972888695704775
4,3,13,11,33.14392653109985
3,4,6,20,29.51352139687025
2,4,8,18,28.510242231652537
5,5,14,22,48.87927827763019
5,9,4,14,33.96539655340608
3,9,0,17,24.736529798663035
4,1,3,7,16.7480881113804
1,8,5,5,25.275683725762658
4,1,5,5,20.98160527413151
3,2,8,2,23.593051383993245
5,7,9,2,39.13730201287896
4,8,12,1,35.99705712257759
5,1,4,4,20.539241389886406
1,3,4,19,22.72767078611824
5,7,5,11,29.706674704393762
5,9,10,5,37.40665466450023
2,8,5,15,25.962220260362574
2,8,2,4,25.48787234084543
2,9,5,5,26.754080144998117
5,3,7,3,27.187146603544406
3,8,11,13,37.04296413343807
5,1,5,2,21.341394187550208
3,8,11,16,35.320097688857274
3,7,10,4,32.19589952307616
2,8,4,21,29.66444124349317
4,1,2,20,19.574128953619127
1,6,0,20,20.485432722652348
2,7,4,5,26.42846762876782
2,5,5,19,30.665618542672785
4,5,13,3,38.5996305757196
1,7,5,12,23.77539125574796
5,3,13,7,38.41770009403473
5,6,5,10,34.60571886633471
2,7,2,23,22.26255559788711
1,1,14,18,28.318871301375225
2,2,3,22,23.223873153403204
3,4,14,4,31.39302933475865
2,8,2,4,21.62698252025844
2,6,1,2,15.034931735124273
5,1,7,1,26.354826705036132
5,5,6,2,25.06911134888111
5,7,10,14,39.485702163684536
3,6,7,6,32.01888464292865
5,9,12,2,46.35555207489217
1,8,5,14,22.46835798671617
4,4,10,10,27.272607287338502
1,5,14,15,30.015029581382183
1,7,11,12,32.45838437285307
5,8,14,1,46.207577313329914
4,5,13,19,42.42899896909712
4,9,6,11,34.75601057639411
4,4,0,20,28.72200987400072
3,4,9,6,26.843911658232138
5,8,4,0,30.244049535525793
4,1,3,13,15.721738396882449
3,8,9,23,34.66593183502972
2,5,2,9,18.540897821813246
2,1,1,2,13.349958128900191
3,4,13,10,31.698901158823855
3,2,13,21,35.857564199260636
5,4,8,19,34.83228758103579
5,8,7,20,40.07459031822835
2,5,9,14,27.16401955139033
4,1,14,5,27.899396835598722
2,7,1,17,20.420030361127196
4,1,5,12,21.624285645781498
4,9,2,14,26.92377684622951
5,3,2,2,25.720245386530582
1,3,4,14,16.309771481860388
1,6,6,23,21.946395644856096
3,6,6,23,25.885491952886643
5,6,10,0,38.74102311856895
4,1,9,9,23.650386417116344
1,5,0,23,15.096194335982775
4,6,10,17,35.7660723434511
1,8,6,7,27.30843147615922
1,1,6,11,14.57464540486395
1,5,5,4,22.178443482221837
5,3,5,0,25.811552911735
2,2,12,7,22.960116162795174
4,8,12,4,41.84653121169462
5,7,1,16,25.47282835541936
5,7,2,14,27.54879249052572
5,5,2,3,25.51893075311736
5,9,12,12,41.83621612932519
5,5,2,16,26.413815443986387
3,2,1,12,12.99231914796577
4,3,8,1,25.95123898176263
5,4,5,23,29.451446403811065
4,5,1,3,21.75055402629694
3,3,2,1,15.786371638369218
3,7,9,11,32.4574564340724
4,5,5,18,32.30330753468089
1,5,3,17,14.927961488343371
2,6,6,9,28.508568508930466
1,7,5,4,27.07880712861305
1,8,14,10,36.04000148622992
1,9,5,0,26.09983668078248
5,4,11,2,34.24588817602692
3,5,2,16,22.686101970274713
1,5,10,14,27.405218699289538
3,8,7,13,31.878456401144994
4,9,8,23,38.864660160608764
2,7,5,14,27.761877585123703
4,5,1,15,19.780172629920894
4,3,0,3,19.27479166384578
5,1,2,18,26.203241213628328
2,9,2,23,25.45651939725808
4,5,7,7,30.09806683456743
4,9,4,5,30.68512383781965
2,4,0,15,12.591159534947932
2,5,10,2,32.27455712441137
4,4,3,7,19.92107604216447
2,2,6,4,22.56251751956635
4,1,4,4,19.169501887997676
4,8,9,11,38.29487925740142
5,4,14,0,37.84583197687626
1,5,12,6,30.774821559080333
4,6,5,23,28.89770890781662
3,8,13,10,37.26124678356747
1,8,9,9,30.06823917622729
1,7,3,2,20.814139183220156
1,4,1,7,15.485960914669981
5,6,8,0,33.88308244168046
4,4,14,7,36.37231376779909
5,7,1,22,29.648256956802097
4,1,1,19,18.14373624010881
5,5,12,10,37.04125565739668
5,4,11,6,34.56310422208771
3,7,1,15,20.596865425702987
5,9,0,6,29.64311314207752
2,5,12,12,32.130089203952046
3,4,11,9,30.51226706838725
5,9,11,16,41.73147715946464
1,5,2,2,14.365006168180987
2,9,5,6,25.93147318009565
2,8,6,10,28.98941789520619
2,4,0,12,13.343957400387248
3,7,13,4,35.58447379915425
5,5,4,22,32.85757427644873
5,4,4,18,34.8753049951446
1,5,0,14,13.705117810764772
1,5,3,0,22.201357346654596
2,9,9,4,33.14748740736814
1,9,0,12,21.627706410121988
3,6,12,9,36.31943235566227
5,4,13,4,38.66503494640156
2,2,14,22,34.47812941690411
1,3,0,0,11.04062856359858
3,2,11,9,28.856133969167093
3,5,14,17,36.14801485680063
1,6,6,21,27.32826842797192
5,5,6,7,32.51817566709982
1,2,2,19,18.31479727567242
2,5,6,2,22.20162027712221
1,9,2,18,26.167683266947854
3,4,1,18,27.117833248164686
1,2,9,1,19.814769932788355
5,3,14,16,37.805890105060605
4,3,3,15,21.853707769831626
1,9,13,20,42.53789915401871
5,4,9,9,35.623627179786695
5,1,2,20,25.89463216236773
3,1,11,15,27.371541447688283
5,7,6,4,32.3062545096739
5,7,11,19,42.370853572366684
5,2,11,2,36.03893136448109
5,9,0,2,28.41632762057152
2,9,5,1,28.28662189667321
2,5,14,20,38.87758571037338
3,3,13,3,31.48291022224966
1,3,1,21,20.885552428742784
5,3,7,17,28.97921367006198
1,6,13,1,28.980151360067808
1,4,4,23,16.480723890960167
3,8,2,5,25.421418818878834
5,5,9,2,35.35128219329257
5,1,6,20,25.65914029571176
4,9,13,2,43.08776539141899
1,1,10,1,21.962625564791278
1,6,14,2,34.56473284848499
2,1,14,16,27.139823513126288
4,3,1,13,20.79847974391684
2,5,4,6,19.66997511430987
2,7,10,21,38.390984657422955
2,8,7,20,34.27670814639563
3,9,12,5,38.9857711984488
3,6,10,7,32.06354445187263
2,9,0,18,28.800243229260225
4,8,14,18,44.590387482306085
1,9,0,11,22.270581030847683
4,4,2,4,23.141724177859093
5,9,2,4,30.29703350762499
3,7,12,13,35.90493532514407
1,5,6,16,19.981108562329283
1,5,5,15,18.179249498776922
5,1,6,3,24.094829683666003
5,2,3,7,22.007745054989226
2,3,10,2,24.82587443425194
3,8,1,20,26.700441908513515
3,6,1,4,22.114114793414295
4,5,9,22,35.57739170459691
2,1,0,23,9.001317099096791
2,9,13,6,40.651863971721454
2,3,12,17,25.94969050192772
2,3,13,23,30.223835218950022
3,2,8,7,20.600923302052987
3,4,13,10,29.727568392856213
2,2,13,13,28.565356816191873
4,9,6,17,33.02772652150117
1,7,9,12,25.962304415983542
1,8,2,5,23.29987083618103
4,3,1,12,19.442629834307652
2,6,13,0,29.34422361064602
3,6,2,10,24.318803091349785
1,1,6,6,13.572230872997288
5,6,4,9,25.38421293012262
5,3,11,1,31.058878114194396
4,3,2,15,19.81639550449674
2,3,8,4,23.254752655238942
1,8,1,15,16.930269526890104
2,5,6,22,25.873796716534862
1,4,14,15,28.27818843996035
4,9,9,14,35.90596487152741
4,9,5,8,34.02359766790516
5,1,5,0,21.67335682910281
2,2,13,8,29.08525998782825
5,8,6,10,36.39164967196835
2,5,5,4,23.611341005715023
5,7,1,5,20.551780012768806
3,1,10,7,23.89196620946802
3,5,4,14,22.967388434183352
3,3,2,15,17.791152448228345
3,2,8,17,19.435641844543312
1,2,7,11,16.8718289314726
3,9,9,22,37.57551157894992
4,4,10,3,29.146874796037046
4,4,1,21,24.68262209589019
1,7,14,15,32.816894792077036
3,2,0,22,17.29397487332835
3,3,14,10,31.904061116357443
3,3,3,21,23.11558441806391
5,6,3,23,27.99937981730691
2,3,11,21,30.860287617771263
5,5,9,6,30.16478197589651
2,4,10,23,24.937835362378305
3,3,1,14,16.04389865455412
3,8,6,16,29.30404906446083
5,3,12,14,31.073035460411038
5,6,14,9,42.15316084027748
2,7,2,3,22.524446909727313
4,7,6,21,34.4984149375136
2,2,6,16,18.872618473781838
5,3,0,3,17.356252958053375
5,4,5,21,33.706135734198625
1,7,3,22,30.237860712842252
5,2,10,21,33.71082612566605
1,3,7,10,22.347864697732252
4,7,7,3,30.17841559249594
2,7,2,11,20.83607708521152
2,3,3,22,24.96738046367491
1,1,14,9,25.060321926227914
2,3,0,13,14.87396737347281
5,5,9,17,32.76107818240099
3,7,1,5,19.094528739963707
1,4,6,4,24.87482360615406
2,1,14,1,26.8664537075307
1,6,13,12,31.91223508904235
1,2,10,22,25.534944560375738
3,3,11,13,30.260263247827016
5,4,14,2,39.21317261751293
1,6,6,22,25.08549065477722
2,6,12,10,32.74219917460975
4,7,8,21,39.85420200505192
1,5,9,22,32.700873733346064
1,7,8,3,28.39289795447563
3,2,8,12,25.06867493653144
5,1,5,7,21.419812587493215
4,8,7,7,30.94192259611607
2,1,8,22,24.478252370246093
4,2,11,12,26.69646922677215
2,6,13,22,37.12193782798984
5,1,6,9,22.192045409225763
2,3,3,12,15.218590955438446
3,7,13,12,38.16457250882787
3,8,3,23,24.57454547317422
3,4,5,16,26.671160875712168
3,3,13,5,33.078300080285146
4,1,10,1,28.87898746910032
5,9,3,16,30.7216874877373
2,6,10,11,30.40059312959458
2,6,6,22,28.11421061278857
3,9,7,5,33.33471158822394
3,1,7,4,17.364558270789228
1,6,13,4,33.7245937638226
5,5,7,8,29.61020935232357
4,6,1,21,28.80568967853446
2,8,13,2,37.57694830206363
1,5,9,22,29.192071909278592
1,2,1,19,14.603478142268525
2,2,1,4,12.959584530408575
4,5,1,6,23.30593136761502
1,3,3,11,14.806029142756554
1,3,4,6,17.505915571926778
5,8,3,9,32.18818307833292
4,7,14,7,39.91509423647816
1,1,4,16,13.07464699719707
4,5,3,4,24.37761475747748
2,9,6,14,31.984809251165217
3,4,9,8,27.11343681140806
1,1,0,22,15.775501051657598
5,8,13,10,43.110254903855946
2,5,12,12,29.426778132984964
4,2,0,17,15.916012297542798
2,1,1,16,9.458731929592611
1,3,12,23,23.207985456773304
4,9,0,8,27.71369849710812
3,1,11,9,27.295537842609544
2,4,14,4,31.733952507246162
1,8,9,10,29.895362734772338
5,8,11,21,44.046472665390176
4,8,11,14,38.53975885026885
2,8,9,1,35.76295754172891
2,4,12,20,36.419393440507
3,8,13,19,43.44788534214627
3,9,10,23,36.17362129047816
5,7,2,23,27.147217990456998
5,2,5,13,21.17786528831914
1,9,9,4,30.334174305543215
1,8,10,23,32.34846358500692
5,5,5,5,26.635963473049948
5,3,0,21,23.93988535763107
4,7,5,14,27.263637715574287
3,2,4,3,20.37088926011035
1,3,6,9,16.153536743723603
3,9,5,18,36.685355814523675
3,4,11,8,32.25728122014616
5,4,11,20,38.55324830819106
4,3,6,9,23.326153169081287
2,5,1,3,18.65023590667681
4,3,11,21,38.904850291252814
4,9,0,3,29.183355122099975
3,3,13,5,30.95247911745523
4,2,6,7,21.43363486103684
1,5,8,15,23.635815061954634
3,6,1,7,17.820182280380916
1,1,11,15,20.588589750431964
2,6,6,5,26.101091891387803
3,3,2,16,17.16458583192686
2,4,5,0,19.799101719946812
3,6,2,18,27.289022791265534
5,8,12,17,40.86129236665341
4,9,9,16,38.81098628086075
5,6,12,16,35.74648759891113
2,7,10,11,32.55293512922937
4,5,10,11,32.40772326841912
3,9,10,5,37.368556321322416
4,4,4,6,21.021796040161718
